,crop_type,country,average_production,percent
113,wheat,Russian Federation,32115465.0,17.0895%
144,wheat,United States of America,24718122.5,13.1531%
23,wheat,Canada,22773814.166666668,12.1185%
46,wheat,France,18679592.666666668,9.9399%
140,wheat,Ukraine,16169553.666666666,8.6042%
6,wheat,Australia,14588698.333333334,7.7630%
4,wheat,Argentina,10023478.0,5.3337%
50,wheat,Germany,8152545.5,4.3382%
112,wheat,Romania,5434487.5,2.8918%
66,wheat,Kazakhstan,4852250.0,2.5820%
20,wheat,Bulgaria,4016104.3333333335,2.1371%
107,wheat,Poland,3283517.1666666665,1.7472%
76,wheat,Lithuania,2903778.3333333335,1.5452%
56,wheat,Hungary,2503740.0,1.3323%
33,wheat,Czechia,2331660.3333333335,1.2407%
71,wheat,Latvia,2210058.3333333335,1.1760%
142,wheat,United Kingdom of Great Britain and Northern Ireland,1242357.5,0.6611%
120,wheat,Slovakia,1125287.1666666667,0.5988%
35,wheat,Denmark,834210.1666666666,0.4439%
129,wheat,Sweden,833476.3333333334,0.4435%
83,wheat,Mexico,791200.6666666666,0.4210%
18,wheat,Brazil,742600.0,0.3952%
13,wheat,Belgium,735995.8333333334,0.3916%
7,wheat,Austria,702998.3333333334,0.3741%
118,wheat,Serbia,602960.5,0.3209%
104,wheat,Paraguay,513043.8333333333,0.2730%
41,wheat,Estonia,473605.6666666667,0.2520%
111,wheat,Republic of Moldova,466950.8333333333,0.2485%
31,wheat,Croatia,411814.6666666667,0.2191%
125,wheat,Spain,399541.5,0.2126%
91,wheat,Netherlands,385340.8333333333,0.2050%
58,wheat,India,381813.0,0.2032%
145,wheat,Uruguay,367375.5,0.1955%
100,wheat,Pakistan,328380.0,0.1747%
52,wheat,Greece,321464.8333333333,0.1711%
64,wheat,Italy,306326.3333333333,0.1630%
45,wheat,Finland,165398.5,0.0880%
146,wheat,Uzbekistan,156244.0,0.0831%
121,wheat,Slovenia,129590.83333333333,0.0690%
123,wheat,South Africa,122497.16666666667,0.0652%
137,wheat,Türkiye,77852.16666666667,0.0414%
60,wheat,Iran (Islamic Republic of),51198.0,0.0272%
141,wheat,United Arab Emirates,50104.833333333336,0.0267%
16,wheat,Bosnia and Herzegovina,44192.5,0.0235%
12,wheat,Belarus,39992.833333333336,0.0213%
138,wheat,Turkmenistan,33214.5,0.0177%
77,wheat,Luxembourg,30915.0,0.0165%
131,wheat,Syrian Arab Republic,30435.6,0.0162%
148,wheat,Viet Nam,30425.333333333332,0.0162%
108,wheat,Portugal,27239.0,0.0145%
65,wheat,Jordan,27084.5,0.0144%
74,wheat,Liberia,25633.0,0.0136%
62,wheat,Ireland,20860.833333333332,0.0111%
143,wheat,United Republic of Tanzania,13532.333333333334,0.0072%
72,wheat,Lebanon,13038.833333333334,0.0069%
82,wheat,Malta,11889.0,0.0063%
39,wheat,Egypt,10559.333333333334,0.0056%
97,wheat,North Macedonia,8852.166666666666,0.0047%
75,wheat,Libya,8553.0,0.0046%
25,wheat,"China, mainland",8332.2,0.0044%
49,wheat,Georgia,7018.833333333333,0.0037%
36,wheat,Djibouti,4716.0,0.0025%
87,wheat,Mozambique,4541.666666666667,0.0024%
59,wheat,Indonesia,4082.8,0.0022%
67,wheat,Kenya,4016.1666666666665,0.0021%
151,wheat,Zimbabwe,3400.0,0.0018%
79,wheat,Malaysia,3130.5,0.0017%
126,wheat,Sri Lanka,3045.8333333333335,0.0016%
127,wheat,Sudan,2793.0,0.0015%
136,wheat,Tunisia,2620.0,0.0014%
149,wheat,Yemen,1967.6666666666667,0.0010%
117,wheat,Senegal,1955.6666666666667,0.0010%
119,wheat,Singapore,1548.8333333333333,0.0008%
8,wheat,Azerbaijan,1500.0,0.0008%
99,wheat,Oman,1423.0,0.0008%
40,wheat,El Salvador,1336.8,0.0007%
55,wheat,Guyana,1202.4,0.0006%
103,wheat,Papua New Guinea,1163.25,0.0006%
63,wheat,Israel,1142.5,0.0006%
130,wheat,Switzerland,1114.3333333333333,0.0006%
105,wheat,Peru,990.3333333333334,0.0005%
70,wheat,Lao People's Democratic Republic,819.0,0.0004%
30,wheat,Côte d'Ivoire,795.6666666666666,0.0004%
3,wheat,Angola,793.0,0.0004%
1,wheat,Albania,741.0,0.0004%
80,wheat,Maldives,626.0,0.0003%
135,wheat,Trinidad and Tobago,485.3333333333333,0.0003%
61,wheat,Iraq,477.75,0.0003%
43,wheat,Ethiopia,472.4,0.0003%
51,wheat,Ghana,404.8333333333333,0.0002%
139,wheat,Uganda,390.3333333333333,0.0002%
133,wheat,Thailand,385.0,0.0002%
134,wheat,Togo,359.6666666666667,0.0002%
98,wheat,Norway,270.8,0.0001%
116,wheat,Saudi Arabia,269.5,0.0001%
53,wheat,Guatemala,259.3333333333333,0.0001%
38,wheat,Dominican Republic,211.83333333333334,0.0001%
81,wheat,Mali,207.33333333333334,0.0001%
88,wheat,Myanmar,199.4,0.0001%
68,wheat,Kuwait,191.5,0.0001%
5,wheat,Armenia,178.0,0.0001%
93,wheat,New Zealand,157.0,0.0001%
114,wheat,Rwanda,121.0,0.0001%
86,wheat,Morocco,103.33333333333333,0.0001%
17,wheat,Botswana,91.25,0.0000%
150,wheat,Zambia,88.0,0.0000%
78,wheat,Malawi,85.0,0.0000%
89,wheat,Namibia,78.16666666666667,0.0000%
124,wheat,South Sudan,76.5,0.0000%
69,wheat,Kyrgyzstan,58.6,0.0000%
73,wheat,Lesotho,42.166666666666664,0.0000%
106,wheat,Philippines,33.0,0.0000%
110,wheat,Republic of Korea,32.666666666666664,0.0000%
42,wheat,Eswatini,25.25,0.0000%
9,wheat,Bahrain,21.833333333333332,0.0000%
85,wheat,Montenegro,19.333333333333332,0.0000%
24,wheat,Chile,13.0,0.0000%
32,wheat,Cyprus,12.833333333333334,0.0000%
94,wheat,Nicaragua,10.5,0.0000%
96,wheat,Nigeria,10.0,0.0000%
2,wheat,Algeria,9.0,0.0000%
95,wheat,Niger,8.0,0.0000%
27,wheat,Comoros,5.0,0.0000%
122,wheat,Somalia,4.5,0.0000%
0,wheat,Afghanistan,4.2,0.0000%
57,wheat,Iceland,4.0,0.0000%
102,wheat,Panama,2.25,0.0000%
101,wheat,Palestine,2.0,0.0000%
44,wheat,Fiji,1.6,0.0000%
26,wheat,Colombia,1.0,0.0000%
21,wheat,Burundi,1.0,0.0000%
147,wheat,Venezuela (Bolivarian Republic of),1.0,0.0000%
11,wheat,Barbados,0.5,0.0000%
115,wheat,Saint Vincent and the Grenadines,0.5,0.0000%
34,wheat,Democratic Republic of the Congo,0.4,0.0000%
90,wheat,Nepal,0.3333333333333333,0.0000%
10,wheat,Bangladesh,0.3333333333333333,0.0000%
54,wheat,Guinea,0.16666666666666666,0.0000%
22,wheat,Cameroon,0.0,0.0000%
84,wheat,Mongolia,0.0,0.0000%
48,wheat,Gambia,0.0,0.0000%
47,wheat,Gabon,0.0,0.0000%
15,wheat,Bolivia (Plurinational State of),0.0,0.0000%
14,wheat,Belize,0.0,0.0000%
92,wheat,New Caledonia,0.0,0.0000%
37,wheat,Dominica,0.0,0.0000%
29,wheat,Costa Rica,0.0,0.0000%
132,wheat,Tajikistan,0.0,0.0000%
19,wheat,Brunei Darussalam,0.0,0.0000%
128,wheat,Suriname,0.0,0.0000%
28,wheat,Congo,0.0,0.0000%
109,wheat,Qatar,0.0,0.0000%
